NUMBER OF OBSERVATIONS								
1621							
DAY	MONTH	YEAR	RAIN	PE	SOIL_VWC	GWL	ABS	
28	5	2015	8.42E-05	2.81483871	-9999	-9999	0	
29	5	2015	2.647923708	2.81483871	-9999	-9999	0	
30	5	2015	2.897783279	2.81483871	-9999	-9999	0	
31	5	2015	0.938382566	2.81483871	-9999	-9999	0	
1	6	2015	0.23386839	3.4	-9999	-9999	0	
2	6	2015	0.021910382	3.4	-9999	-9999	0	
3	6	2015	0.000108571	3.4	-9999	-9999	0	
4	6	2015	4.019525051	3.4	-9999	-9999	0	
5	6	2015	0.262608379	3.4	-9999	-9999	0	
6	6	2015	5.33E-05	3.4	-9999	-9999	0	
7	6	2015	0.000361373	3.4	-9999	-9999	0	
8	6	2015	0.024809588	3.4	-9999	-9999	0	
9	6	2015	0	3.4	-9999	-9999	0	
10	6	2015	0.081364878	3.4	-9999	-9999	0	
11	6	2015	0.000165733	3.4	-9999	-9999	0	
12	6	2015	5.14400959	3.4	-9999	-9999	0	
13	6	2015	1.58627975	3.4	-9999	-9999	0	
14	6	2015	0.382884771	3.4	-9999	-9999	0	
15	6	2015	0.000210725	3.4	-9999	-9999	0	
16	6	2015	0.00013964	3.4	-9999	-9999	0	
17	6	2015	0.297544003	3.4	-9999	-9999	0	
18	6	2015	0.001343176	3.4	-9999	-9999	0	
19	6	2015	0.001500113	3.4	-9999	-9999	0	
20	6	2015	3.392647982	3.4	-9999	-9999	0	
21	6	2015	0.006351629	3.4	-9999	-9999	0	
22	6	2015	2.280654669	3.4	-9999	-9999	0	
23	6	2015	0.003055105	3.4	-9999	-9999	0	
24	6	2015	0	3.4	-9999	-9999	0	
25	6	2015	0	3.4	-9999	18.08	0	
26	6	2015	0.002758216	3.4	-9999	-9999	0	
27	6	2015	0.00090703	3.4	-9999	-9999	0	
28	6	2015	1.178296089	3.4	-9999	-9999	0	
29	6	2015	0.00013964	3.4	-9999	-9999	0	
30	6	2015	0.00203839	3.4	-9999	-9999	0	
1	7	2015	0.000100931	3.55483871	-9999	-9999	0	
2	7	2015	0.046203651	3.55483871	-9999	-9999	0	
3	7	2015	8.514037132	3.55483871	-9999	-9999	0	
4	7	2015	0.167876005	3.55483871	-9999	-9999	0	
5	7	2015	5.355025768	3.55483871	-9999	-9999	0	
6	7	2015	0.019256445	3.55483871	-9999	-9999	0	
7	7	2015	0.368863285	3.55483871	-9999	-9999	0	
8	7	2015	1.820724726	3.55483871	-9999	-9999	0	
9	7	2015	0.000892283	3.55483871	-9999	-9999	0	
10	7	2015	3.60E-05	3.55483871	-9999	-9999	0	
11	7	2015	0.56127882	3.55483871	-9999	-9999	0	
12	7	2015	9.561553001	3.55483871	-9999	-9999	0	
13	7	2015	0.714276135	3.55483871	-9999	-9999	0	
14	7	2015	1.86629498	3.55483871	-9999	-9999	0	
15	7	2015	0.175912485	3.55483871	-9999	-9999	0	
16	7	2015	0.133926004	3.55483871	-9999	-9999	0	
17	7	2015	0.000114757	3.55483871	-9999	-9999	0	
18	7	2015	0.836736858	3.55483871	-9999	-9999	0	
19	7	2015	0.00494477	3.55483871	-9999	-9999	0	
20	7	2015	0.00153194	3.55483871	-9999	-9999	0	
21	7	2015	0.000230674	3.55483871	-9999	-9999	0	
22	7	2015	0.013390126	3.55483871	-9999	-9999	0	
23	7	2015	0	3.55483871	-9999	-9999	0	
24	7	2015	36.35105896	3.55483871	-9999	-9999	0	
25	7	2015	0.052977405	3.55483871	-9999	-9999	0	
26	7	2015	9.072590828	3.55483871	-9999	-9999	0	
27	7	2015	0.38147971	3.55483871	-9999	17.29	0	
28	7	2015	0.971949697	3.55483871	-9999	-9999	0	
29	7	2015	0.477308333	3.55483871	-9999	-9999	0	
30	7	2015	2.088091612	3.55483871	-9999	-9999	0	
31	7	2015	0.000679861	3.55483871	-9999	-9999	0	
1	8	2015	0.000118072	2.883870968	-9999	-9999	0	
2	8	2015	4.24E-05	2.883870968	-9999	-9999	0	
3	8	2015	0.001753601	2.883870968	-9999	-9999	0	
4	8	2015	0	2.883870968	-9999	-9999	0	
